ID,R0,R1,A1,E1_0,E1_1,label
1,584.5133683,5067.700647,1341.475162,4.77E-05,0.876620431,1
2,586.8118383,5234.44385,1487.512909,4.57E-05,0.892054465,1
3,514.3193355,4954.903289,1386.867271,4.18E-05,0.865860875,1
4,514.2105273,5257.949297,1457.057471,3.93E-05,0.89035597,1
5,469.9237324,6466.538392,1746.344424,3.47E-05,0.891002213,1
6,472.2908851,6257.599027,1873.488178,3.34E-05,0.897639983,1
7,457.0469082,4360.875586,992.7323041,3.63E-05,0.850869298,1
8,457.0664105,4158.308472,991.7020709,3.52E-05,0.852758951,1
9,436.140134,7162.42784,1603.052373,5.06E-05,0.864882718,1
10,437.1618303,7005.621771,1556.792279,4.96E-05,0.870269953,1
11,497.349442,5751.578311,1385.615733,3.14E-05,0.880747998,1
12,498.6137499,5494.826669,1436.185515,3.12E-05,0.886279715,1
13,512.5387964,5100.206451,1211.775261,2.99E-05,0.891356048,1
14,432.405544,4496.039895,1094.139983,3.10E-05,0.873945083,1
15,432.9076652,4529.372069,1050.779999,2.95E-05,0.886908448,1
16,446.5037807,5166.74421,1130.898527,4.31E-05,0.86106672,1
17,449.4383946,5117.751513,1099.198487,4.13E-05,0.886776085,1
18,406.772595,4835.844916,887.3963232,3.89E-05,0.864562142,1
19,409.3274473,5009.048299,952.8296905,3.79E-05,0.881132394,1
20,473.3165779,5371.588327,1500.755926,3.88E-05,0.886486924,1
21,471.7422577,5364.657447,1442.856934,3.92E-05,0.878922638,1
22,579.5881086,4703.238771,1273.636165,3.14E-05,0.862722806,1
23,577.960407,4404.480405,1080.357739,3.07E-05,0.86839339,1
24,560.9887891,4503.204087,1194.060113,3.71E-05,0.866399493,1
25,561.9118099,4626.995122,1246.555907,3.61E-05,0.869831222,1
26,416.9629957,5310.971932,1237.525037,3.99E-05,0.876006369,1
27,420.4609918,5742.013048,1382.331805,3.72E-05,0.906482629,1
28,421.834702,5338.18259,1255.660346,3.99E-05,0.886919246,1
29,422.0380392,5353.182699,1251.878071,4.09E-05,0.882318716,1
30,493.8556185,5076.905268,1210.240675,3.64E-05,0.886125544,1
31,492.4637484,4737.55095,1161.619887,3.67E-05,0.876224284,1
32,470.6587168,4391.764135,1060.476738,3.28E-05,0.881796722,1
33,470.3542126,4057.391575,999.0730819,3.28E-05,0.875878536,1
34,546.7433214,4897.527229,1169.786313,3.48E-05,0.853871671,1
35,550.2362056,4879.907885,1224.40821,3.37E-05,0.869911405,1
36,548.7936966,4773.180245,1066.544329,4.58E-05,0.852664344,1
37,552.2328783,4465.714918,1078.016445,4.55E-05,0.861897217,1
38,423.4846195,5786.047137,1149.813442,4.02E-05,0.871285871,1
39,423.5411748,5605.629408,1118.137518,3.95E-05,0.874393771,1
40,458.2360065,4802.513447,1141.234516,3.29E-05,0.874827444,1
41,458.5729455,4935.027478,1198.721174,3.34E-05,0.873948914,1
42,472.4909869,5344.098545,1321.371377,3.02E-05,0.878852751,1
43,447.8511324,5085.365435,1145.340953,2.88E-05,0.870218332,1
44,449.167681,4939.142017,1099.49061,2.91E-05,0.873203848,1
45,385.7561739,4375.037416,929.3436021,4.31E-05,0.851406493,1
46,391.8218843,4253.233684,1058.082182,3.76E-05,0.898555916,1
47,378.3599801,4720.786556,890.7296207,3.77E-05,0.864016109,1
48,379.1347619,4551.464422,828.2493328,3.61E-05,0.875027815,1
49,534.0259558,5442.64878,1453.576932,3.31E-05,0.890318609,1
50,529.9590956,5168.139147,1319.098035,3.40E-05,0.875259459,1
51,564.741993,4712.791929,1194.781205,3.59E-05,0.873705186,1
52,563.8365533,4450.530117,1127.570467,3.57E-05,0.86953916,1
53,473.1024784,5242.919428,1228.957084,3.28E-05,0.874340452,1
54,474.7897409,5396.971102,1306.077248,3.27E-05,0.880505525,1
55,418.4588647,5351.169264,1087.560372,3.87E-05,0.87427505,1
56,416.4012459,5272.76174,1078.014274,3.96E-05,0.860689472,1
57,496.5319168,5271.594748,997.4027211,4.19E-05,0.875421094,1
58,497.09196,5237.157679,999.2498284,4.27E-05,0.875485741,1
59,509.3836821,5324.183,1303.189655,3.52E-05,0.879841786,1
60,510.7179769,4847.971452,1231.733714,3.40E-05,0.886834825,1
61,495.7130567,5136.354271,1353.7094,3.17E-05,0.875404947,1
62,477.9305124,5272.639321,1259.91911,3.56E-05,0.866884772,1
63,479.4775833,5139.985542,1301.206849,3.66E-05,0.863649063,1
64,406.5931593,4190.507806,945.0588354,3.70E-05,0.855719769,1
65,406.4616247,4169.645042,935.6728328,3.86E-05,0.848719955,1
66,451.9499063,5167.212455,1007.815266,4.05E-05,0.866158881,1
67,447.3757662,5073.617368,908.7629485,4.14E-05,0.851590583,1
