ID,R0,R1,A1,E1_0,E1_1,label
1,578.3692498,3694.429123,778.9228949,1.30E-05,0.902640191,0.5_no_norm_a1
2,580.0950717,3672.89954,831.0504428,1.22E-05,0.916607761,0.5_no_norm_a2
3,503.6646221,4015.29041,929.0033375,1.14E-05,0.882878471,0.5_no_norm_b1
4,506.0266861,3876.525516,880.0619213,1.05E-05,0.899551099,0.5_no_norm_b2
5,467.054418,4094.532243,916.7512088,9.02E-06,0.911569904,0.5_no_norm_c1
6,465.6758498,4038.158431,968.8917558,9.80E-06,0.893317252,0.5_no_norm_c2
7,458.3177303,3558.632474,709.5830226,1.02E-05,0.924976623,0.5_no_norm_d1
8,455.7509342,3751.909132,687.8528897,1.04E-05,0.919993507,0.5_no_norm_d2
9,411.3779241,4620.828871,1037.455957,1.60E-05,0.815838732,0.5_no_norm_e1
10,410.6606088,4500.918943,1000.50538,1.70E-05,0.804489418,0.5_no_norm_e2
11,496.3973161,4242.937813,975.5648335,1.09E-05,0.91025767,16_no_norm_a1
12,494.4153078,4292.178869,968.9818531,1.11E-05,0.90604889,16_no_norm_a2
13,508.9854763,3677.191052,838.6527362,9.48E-06,0.924134115,16_no_norm_b1
14,509.344926,3771.029676,840.8903319,9.49E-06,0.923889341,16_no_norm_b2
15,428.7612731,4034.25759,836.6819682,8.44E-06,0.911224005,16_no_norm_c1
16,443.3846018,4276.72134,1050.368974,1.58E-05,0.894654766,16_no_norm_d1
17,442.5622596,4350.583158,1057.944535,1.54E-05,0.902536481,16_no_norm_d2
18,399.7577835,4408.741217,638.6219412,7.57E-06,0.90562369,16_no_norm_e1
19,401.8919524,4492.684311,656.0352665,6.97E-06,0.924221219,16_no_norm_e2
20,471.6567192,3899.45426,938.4988718,1.07E-05,0.924188829,1_no_norm_a1
21,470.7013171,3716.17089,932.7513664,1.14E-05,0.908851981,1_no_norm_a2
22,568.8402357,3964.045782,936.3494614,1.24E-05,0.860037141,1_no_norm_b1
23,568.6211561,4022.554588,981.2642078,1.23E-05,0.85734743,1_no_norm_b2
24,559.4025209,3926.921591,920.2234528,8.83E-06,0.901795462,1_no_norm_c1
25,561.6915211,3958.57957,883.7524231,8.11E-06,0.921240094,1_no_norm_c2
26,411.9647377,4065.057213,893.5496775,1.21E-05,0.906940314,1_no_norm_d1
27,412.5774206,4149.454256,874.8820341,1.24E-05,0.901727049,1_no_norm_d2
28,414.0988386,4355.046884,712.0143122,8.14E-06,0.912780474,1_no_norm_e1
29,415.8968856,4503.645953,746.7992637,7.54E-06,0.930453701,1_no_norm_e2
30,490.6728186,3996.665475,802.8254861,9.66E-06,0.929353705,2_no_norm_a1
31,488.4389729,3996.12071,819.3682516,1.04E-05,0.912801175,2_no_norm_a2
32,467.4888618,3861.160159,813.8289682,8.69E-06,0.924955371,2_no_norm_b1
33,467.5070233,3979.450175,880.0606963,9.10E-06,0.915934822,2_no_norm_b2
