ID,R0,R1,A1,E1_0,E1_1,label
3,309.557541,4533.418469,606.8444972,1.03E-05,0.901461684,C1
4,314.5595577,3036.390193,601.8888517,1.83E-05,0.897029179,C1
5,319.345681,3306.072311,569.209061,2.64E-05,0.886291635,C1
6,330.1879706,3790.625422,587.1861612,2.80E-05,0.874721291,C1
7,334.9142689,4596.548945,754.6866322,2.60E-05,0.902136517,C1
8,322.8274961,5558.93238,1187.484918,3.62E-05,0.850439466,C1
9,306.5857659,5103.163975,1048.164419,3.33E-05,0.877020672,C1
10,326.2540769,4957.198013,1015.88391,3.63E-05,0.87799904,C1
17,323.502841,6484.559621,1129.060882,2.88E-05,0.879468641,H1
18,328.9306683,5830.97842,1061.780093,2.51E-05,0.895485502,H1
19,347.2538772,6348.995061,1097.028769,2.79E-05,0.879546039,H1
20,344.0663711,4337.671056,680.6056709,2.99E-05,0.878476693,H1
21,313.9966957,5026.775926,946.2550405,3.40E-05,0.874558898,H1
22,322.0504831,4999.223857,1018.566081,2.98E-05,0.88184768,H1
23,322.0000319,5890.595499,1263.126534,3.16E-05,0.885182174,H1
26,332.7042826,5553.164892,615.2074903,5.93E-06,0.923871239,I1
27,317.8872794,4288.983348,761.1601899,2.85E-05,0.824648163,I1
28,311.8361038,5113.552265,978.9802857,2.51E-05,0.876680871,I1
29,291.7929776,3258.618164,636.7278023,3.35E-05,0.849365914,I1
30,326.8087554,5120.532394,1101.383922,3.15E-05,0.895687872,I1
31,325.1433757,5129.223562,1093.20197,3.32E-05,0.880223548,I1
32,320.1921397,4943.280551,976.043651,3.23E-05,0.871315111,I1
35,333.9632854,6052.058333,1048.411428,2.81E-05,0.885423425,Z1
36,305.4781225,6290.972383,1162.190879,2.52E-05,0.883725028,Z1
37,305.2159993,6971.137033,1225.70044,2.36E-05,0.892863651,Z1
38,302.3496077,4418.17511,835.3754471,2.70E-05,0.882022574,Z1
39,314.1020427,4793.543119,1079.119556,2.58E-05,0.871815315,Z1
40,317.5589866,5150.308573,1137.316513,2.72E-05,0.886753396,Z1
41,315.2504405,5287.912449,1073.137371,2.93E-05,0.87251142,Z1
42,317.5950356,5071.949625,1068.520073,2.87E-05,0.867724992,Z1
45,311.3782009,5522.142421,550.3511019,3.65E-06,0.934347563,C0
46,326.3324818,4100.653479,552.6548853,9.12E-06,0.934491004,C0
47,323.6812676,4371.666538,629.9882451,9.45E-06,0.923688733,C0
48,334.5626062,4246.935918,607.0017156,9.60E-06,0.92736608,C0
49,322.7905055,4175.408987,861.3639198,1.29E-05,0.912004849,C0
50,303.0181054,4198.446545,872.4585315,1.34E-05,0.905627823,C0
51,318.6484245,4093.176463,728.2124749,1.36E-05,0.900212502,C0
54,2.87E-15,6.57E-14,50731.09761,6.87E-05,3.78E-22,H0
55,325.9524704,4557.602544,561.5018433,8.59E-06,0.94144587,H0
56,328.0195304,4772.834381,657.9751349,8.81E-06,0.923583728,H0
57,350.7461719,4359.186521,564.6292475,8.97E-06,0.936048812,H0
58,315.640179,4147.307544,742.5643793,1.04E-05,0.928166517,H0
59,320.1224875,4261.219016,749.8523955,1.03E-05,0.917445361,H0
60,319.7811293,4057.141271,843.902858,1.23E-05,0.914707052,H0
63,513.8451691,9244.030334,773.3163293,2.63E-06,0.973019524,I0
64,329.0661752,4969.368548,633.6993781,8.54E-06,0.925826144,I0
65,314.3207157,4290.966697,673.3513999,9.69E-06,0.920725116,I0
66,307.1618524,4046.417677,597.2622127,8.90E-06,0.941978315,I0
67,322.2997771,4304.38657,786.4580696,1.19E-05,0.911385147,I0
68,321.7711262,4108.419553,742.3146646,1.19E-05,0.911375573,I0
69,318.8172958,4275.454925,738.1316166,1.15E-05,0.913087968,I0
72,334.5444178,5383.455702,666.2260707,8.23E-06,0.9249774,Z0
73,307.2290308,4752.608162,659.9515399,8.57E-06,0.931136983,Z0
74,308.2968559,5049.583404,676.6088251,8.53E-06,0.933116992,Z0
75,312.9871729,4117.48235,780.1748311,9.94E-06,0.902234099,Z0
76,314.4083706,4139.989486,721.3594497,1.01E-05,0.907403931,Z0
77,313.8335455,4354.523928,746.1290334,8.96E-06,0.910062782,Z0
78,320.8796949,4266.106376,711.277078,9.21E-06,0.925607996,Z0
