ID,R0,R1,E1_0,E1_1,W1_0,W1_1,label
1,275.5413759,5235.491649,1.51E-05,0.810780908,48.6925696,0.140636884,C1
2,302.2686325,2930.951613,2.14E-05,0.887938854,10869.73022,150.564362,C1
3,307.4933854,3108.490207,3.04E-05,0.88704397,3790.73895,17.68142819,C1
4,316.8480615,3607.885143,3.25E-05,0.870113035,10917.2877,153.2904376,C1
5,316.2524262,4265.604165,3.05E-05,0.906132266,5564.540973,21.45878421,C1
6,292.9017907,4816.034758,4.68E-05,0.859107573,10618.74194,32.91972414,C1
7,279.510306,4525.275732,4.20E-05,0.884936698,9085.182865,30.64415456,C1
8,299.6992367,4297.164345,4.58E-05,0.892888775,7581.371163,20.81236899,C1
9,292.4985218,5825.283857,3.54E-05,0.88626688,9999.09096,31.67132012,H1
10,300.6559128,5331.108248,3.06E-05,0.898996369,9168.060254,30.77964703,H1
11,317.9435904,5725.739002,3.40E-05,0.886106037,9319.946211,28.96866327,H1
12,328.2503924,4022.72336,3.48E-05,0.881986484,5083.854946,22.16041084,H1
13,289.8863836,4484.030484,4.19E-05,0.883087012,7775.16407,26.82444089,H1
14,296.5570628,4449.465056,3.68E-05,0.89064307,7508.861607,21.01593967,H1
15,286.9350987,5069.542436,4.07E-05,0.900543125,9918.724443,23.4977424,H1
16,333.4341522,6048.582554,1.87E-05,0.634928842,901.2689965,2.668669525,I1
17,302.5218845,3987.44545,3.35E-05,0.821486688,6042.717727,27.15211334,I1
18,288.4097584,4709.737126,3.04E-05,0.876677319,8327.463122,30.75392255,I1
19,278.9599595,3027.725086,3.98E-05,0.847278639,5214.198883,29.04038622,I1
20,296.1061655,4456.063287,4.01E-05,0.908499236,7221.553518,15.4215196,I1
21,296.3127367,4576.875812,4.26E-05,0.884673101,12239.19973,53.22051211,I1
22,296.0557151,4448.080862,4.00E-05,0.875991587,8606.345877,32.35466571,I1
23,306.0117508,5459.355247,3.42E-05,0.892995375,8611.291613,26.6783028,Z1
24,274.4944268,5702.041324,3.09E-05,0.88762716,9849.398401,29.46593302,Z1
25,270.9023887,6319.154992,2.89E-05,0.898089046,10227.50129,28.01855224,Z1
26,282.9852713,4060.924107,3.23E-05,0.88486639,6276.359218,22.90323247,Z1
27,273.5034971,6350.106615,4.01E-05,0.745454568,0.016597586,3.17E-05,Z1
28,288.9261708,4611.681911,3.42E-05,0.892041558,9307.890639,27.55890456,Z1
29,288.6211653,4716.175716,3.64E-05,0.87921111,8387.401073,24.40132095,Z1
30,291.7408434,4578.562296,3.59E-05,0.869519209,9348.109739,32.46251632,Z1
31,1609.991351,2156.929206,5.92E-06,1,1510.87518,2.53272725,C0
32,298.0925857,4712.254889,1.32E-05,0.845942805,0.00286212,8.38E-06,C0
33,290.2629475,5096.532931,1.41E-05,0.826620288,0.012788614,3.43E-05,C0
34,323.3811327,4133.893859,1.05E-05,0.925157631,4002.006028,18.40382626,C0
35,277.154133,5224.531759,2.21E-05,0.779775053,109.6301695,0.225780367,C0
36,285.957747,4006.172338,1.56E-05,0.90165189,6560.760774,24.75724178,C0
37,280.3636745,5013.991687,2.20E-05,0.780791274,0.00812901,2.02E-05,C0
38,2528.08608,4501.19153,3.96E-06,0.999993327,3705.479932,3.513629556,H0
39,315.2609562,4459.043552,9.28E-06,0.939246435,3801.131178,19.617695,H0
40,294.21543,5522.509036,1.28E-05,0.832207674,0.000180068,4.53E-07,H0
41,340.1802326,4260.928007,9.73E-06,0.933643123,3862.64775,20.14888697,H0
42,301.7129585,3995.415499,1.17E-05,0.926284963,4562.747752,15.45695738,H0
43,306.2079595,4120.718256,1.16E-05,0.913951886,5294.299928,21.67951189,H0
44,273.7678273,5078.73497,2.15E-05,0.779476821,102.7142785,0.214370008,H0
45,485.611848,9736.157368,3.11E-06,0.937534998,591.6042187,0.778182391,I0
46,296.1771762,5690.367901,1.21E-05,0.840101457,0.013134801,3.50E-05,I0
47,279.6034264,5065.881678,1.48E-05,0.817938187,0.01330282,3.25E-05,I0
48,279.7239432,4687.092005,1.29E-05,0.85206343,0.000636195,1.58E-06,I0
49,281.1398326,5277.07862,1.94E-05,0.789820632,0.007605149,1.71E-05,I0
50,283.3538281,5011.722205,1.92E-05,0.792569425,0.000219184,5.10E-07,I0
51,304.6108179,4132.27771,1.30E-05,0.909016549,5545.427431,24.90359708,I0
52,320.9480836,5289.144985,9.02E-06,0.919239086,12973.01014,175.142183,Z0
53,273.1204967,5501.269281,1.25E-05,0.838513211,0.010488925,2.65E-05,Z0
54,274.804248,5813.948296,1.22E-05,0.845404359,0.000273148,6.64E-07,Z0
55,299.6515104,3976.725668,1.11E-05,0.898595498,5399.055487,20.84779643,Z0
56,301.6088445,4012.107914,1.12E-05,0.903545072,5163.304985,22.50848164,Z0
57,300.6650023,4235.731917,9.97E-06,0.905316004,5554.073733,24.83238052,Z0
58,285.2374126,5072.001053,1.44E-05,0.819280339,0.008964535,2.00E-05,Z0
59,0.45177054,-1.025262,-3.2383447,0.29067162,-0.17059469,0.8933904,C1
60,0.15261668,-1.1247545,-1.1621273,0.8784804,0.3072561,0.6928164,C1
61,1.9998521,-5.2138133,-13.712844,-1.2883984,-3.1814568,3.1459925,C1
62,1.0541093,-1.747597,-7.441696,-0.045093462,-0.73651206,1.396451,C1
63,2.3072255,-4.8310337,-11.90592,-1.6712376,-2.4455907,2.8264565,C1
64,0.2659304,-1.2857853,-2.7079628,0.64946496,-0.09959905,0.8310259,C1
65,0.3195163,-1.0542133,-2.527212,0.4881057,-0.047614425,0.80994904,C1
66,14.516621,26.864288,1.1333816,1.034838,13.280176,-3.1738763,H1
67,10.165309,18.69543,0.36803532,0.8101566,9.045503,-2.4810376,H1
68,7.003935,12.673619,0.28831458,0.6089057,6.294838,-1.6819613,H1
69,8.477285,15.426983,0.48165512,0.70288765,7.6774936,-1.9672623,H1
70,13.250144,24.33953,1.0400716,1.0226508,12.105258,-2.9413414,H1
71,11.5601635,21.193756,0.8834064,0.8971634,10.569949,-2.563948,H1
72,9.684318,17.687721,0.6556953,0.77456117,8.822918,-2.1881082,H1
73,0.17247422,0.5435761,-0.4478395,-0.54366606,-0.074493304,1.1104108,I1
74,0.6368782,1.3282783,-1.4040333,-1.1099515,-0.42417055,2.7697437,I1
