ID,R0,R1,E1_0,E1_1,W1_0,W1_1,label
1,564.3405293,3529.72063,1.48E-05,0.89984224,5281.740794,19.59535693,0
2,564.6879314,3512.796202,1.41E-05,0.912689542,5926.85673,22.17503101,0
3,488.0420972,3828.159145,1.31E-05,0.878780415,6288.790452,19.75118687,0
4,450.1796087,4982.569075,2.10E-05,0.740071446,92.64951646,0.190773655,0
5,445.5632592,3452.972111,1.15E-05,0.919510912,5488.68669,27.06689166,0
6,443.4211301,3633.189595,1.16E-05,0.916377523,4820.136132,21.43915374,0
7,394.6915674,4336.745566,1.87E-05,0.810245108,7387.69763,22.16092116,0
8,395.0128562,4222.600358,1.98E-05,0.79860783,7188.328572,22.69544386,0
9,478.4731491,4048.287054,1.26E-05,0.906319523,6782.215526,20.91325324,0
10,459.5686617,4758.03314,1.82E-05,0.774516129,82.93530208,0.166454583,0
11,414.540323,3909.468003,9.53E-06,0.905895422,6027.561975,23.21878068,0
12,422.1257938,4015.19544,1.91E-05,0.89000745,8292.74593,27.49544998,0
13,420.6283452,4080.776576,1.85E-05,0.898854057,8061.617418,25.25683579,0
14,389.1217925,4316.442686,8.23E-06,0.901605737,4506.081274,22.19467103,0
15,362.4590452,5235.51181,1.10E-05,0.819881894,0.009948439,2.63E-05,0
16,507.8863101,5241.67198,2.59E-05,0.693452058,105.6132283,0.217170429,0
17,500.6415348,5419.4787,2.71E-05,0.678245617,110.5379902,0.228990179,0
18,544.3250182,3781.398646,1.01E-05,0.896652464,6412.063277,21.47625227,0
19,546.7717213,3823.518954,9.19E-06,0.916806894,6023.255188,20.37098119,0
20,395.4333097,3872.81176,1.39E-05,0.903962301,6056.179496,19.54416029,0
21,402.473586,4394.044494,8.34E-06,0.926097524,5406.803422,23.37884822,0
22,475.7523115,3863.103799,1.10E-05,0.924876762,5815.541595,23.19481237,0
23,473.6927242,3848.089338,1.18E-05,0.908715391,5797.451113,21.90072783,0
24,453.3282953,3733.961776,9.81E-06,0.920683213,5620.482379,20.92803466,0
25,413.5254988,5032.158466,1.77E-05,0.76392884,86.34986624,0.168631766,0
26,533.8275824,3979.55175,9.14E-06,0.920053137,5584.896802,20.34050518,0
27,532.8297986,3971.478296,9.74E-06,0.905217608,5569.6952,20.42636906,0
28,405.3913835,4296.365904,8.42E-06,0.910505235,4843.860713,18.34349102,0
29,404.0306088,4314.828798,8.22E-06,0.915325975,13270.10397,151.8379496,0
30,399.66688,5067.488678,2.10E-05,0.745841366,99.26828149,0.200232774,0
31,405.6509433,5007.325611,1.88E-05,0.770593527,90.75749797,0.184127404,0
32,414.8863832,4710.851041,2.33E-05,0.734592493,99.24165594,0.197717157,0
33,420.7564598,4321.49904,2.14E-05,0.75505339,84.70318463,0.175434128,0
34,432.4384256,3778.528344,8.48E-06,0.91156256,5553.540117,23.15327524,0
35,370.6020749,3905.275325,1.29E-05,0.922569841,5869.32911,22.84649232,0
36,335.0255639,5061.071408,1.28E-05,0.815526817,47.58264385,0.118431784,0
