ID,R0,R1,E1_0,E1_1,W1_0,W1_1,label
1,458.639494,13326.42837,2.79E-06,0.949097324,9800.196312,109.743905,C0
2,312.5148763,4684.071068,3.93E-06,0.913723497,4508.562787,21.2340435,C0
3,1609.991351,2156.929206,5.92E-06,1,1510.87518,2.53272725,C0
4,298.0925857,4712.254889,1.32E-05,0.845942805,0.00286212,8.38E-06,C0
5,290.2629475,5096.532931,1.41E-05,0.826620288,0.012788614,3.43E-05,C0
6,323.3811327,4133.893859,1.05E-05,0.925157631,4002.006028,18.40382626,C0
7,277.154133,5224.531759,2.21E-05,0.779775053,109.6301695,0.225780367,C0
8,285.957747,4006.172338,1.56E-05,0.90165189,6560.760774,24.75724178,C0
9,280.3636745,5013.991687,2.20E-05,0.780791274,0.00812901,2.02E-05,C0
10,470.1803342,8376.294721,2.58E-06,0.965977726,3161.86226,9.28263432,H0
11,482.284391,8636.961015,2.46E-06,0.965654476,1411.179243,2.216290709,H0
12,2528.08608,4501.19153,3.96E-06,0.999993327,3705.479932,3.513629556,H0
13,315.2609562,4459.043552,9.28E-06,0.939246435,3801.131178,19.617695,H0
14,294.21543,5522.509036,1.28E-05,0.832207674,0.000180068,4.53E-07,H0
15,340.1802326,4260.928007,9.73E-06,0.933643123,3862.64775,20.14888697,H0
16,301.7129585,3995.415499,1.17E-05,0.926284963,4562.747752,15.45695738,H0
17,306.2079595,4120.718256,1.16E-05,0.913951886,5294.299928,21.67951189,H0
18,273.7678273,5078.73497,2.15E-05,0.779476821,102.7142785,0.214370008,H0
19,428.9114158,9263.790565,3.71E-06,0.864077211,0.026467946,3.44E-05,I0
20,5060.429593,2965.141395,3.89E-05,0.659023702,2696.905899,2.368683932,I0
21,485.611848,9736.157368,3.11E-06,0.937534998,591.6042187,0.778182391,I0
22,296.1771762,5690.367901,1.21E-05,0.840101457,0.013134801,3.50E-05,I0
23,279.6034264,5065.881678,1.48E-05,0.817938187,0.01330282,3.25E-05,I0
24,279.7239432,4687.092005,1.29E-05,0.85206343,0.000636195,1.58E-06,I0
25,281.1398326,5277.07862,1.94E-05,0.789820632,0.007605149,1.71E-05,I0
26,283.3538281,5011.722205,1.92E-05,0.792569425,0.000219184,5.10E-07,I0
27,304.6108179,4132.27771,1.30E-05,0.909016549,5545.427431,24.90359708,I0
28,469.9073761,5178.676496,3.06E-06,0.921446019,4893.485108,9.826777745,Z0
29,4050.063925,4176.460895,1.97E-05,0.612747144,2675.131043,2.601580848,Z0
30,320.9480836,5289.144985,9.02E-06,0.919239086,12973.01014,175.142183,Z0
31,273.1204967,5501.269281,1.25E-05,0.838513211,0.010488925,2.65E-05,Z0
32,274.804248,5813.948296,1.22E-05,0.845404359,0.000273148,6.64E-07,Z0
33,299.6515104,3976.725668,1.11E-05,0.898595498,5399.055487,20.84779643,Z0
34,301.6088445,4012.107914,1.12E-05,0.903545072,5163.304985,22.50848164,Z0
35,300.6650023,4235.731917,9.97E-06,0.905316004,5554.073733,24.83238052,Z0
36,285.2374126,5072.001053,1.44E-05,0.819280339,0.008964535,2.00E-05,Z0
37,293.0296274,5617.515904,5.48E-06,0.922954824,4967.737574,23.24704784,C1
38,285.0879175,5861.45324,8.69E-06,0.830182111,0.000278191,6.76E-07,C1
39,275.5413759,5235.491649,1.51E-05,0.810780908,48.6925696,0.140636884,C1
40,302.2686325,2930.951613,2.14E-05,0.887938854,10869.73022,150.564362,C1
41,307.4933854,3108.490207,3.04E-05,0.88704397,3790.73895,17.68142819,C1
42,316.8480615,3607.885143,3.25E-05,0.870113035,10917.2877,153.2904376,C1
43,316.2524262,4265.604165,3.05E-05,0.906132266,5564.540973,21.45878421,C1
44,292.9017907,4816.034758,4.68E-05,0.859107573,10618.74194,32.91972414,C1
45,279.510306,4525.275732,4.20E-05,0.884936698,9085.182865,30.64415456,C1
46,299.6992367,4297.164345,4.58E-05,0.892888775,7581.371163,20.81236899,C1
47,525.6487782,6949.058199,5.56E-05,0.353733625,958.6784029,4.395274133,H1
48,317.3092966,5589.442257,5.24E-06,0.935014578,4532.796873,22.85635904,H1
49,292.4985218,5825.283857,3.54E-05,0.88626688,9999.09096,31.67132012,H1
50,300.6559128,5331.108248,3.06E-05,0.898996369,9168.060254,30.77964703,H1
