ID,R0,R1,E1_0,E1_1,W1_0,W1_1,label
1,379.59274,4552.938,2.19E-05,0.9132929,7143.5273,28.334846,C0
2,377.28073,4553.6113,2.19E-05,0.91340697,7131.5796,28.354595,C0
3,373.92374,4551.7363,2.26E-05,0.91347545,7192.753,28.142542,C0
4,368.3557,4632.9077,2.27E-05,0.9132455,7005.17,28.626549,C0
5,387.00165,4553.2437,2.16E-05,0.91399705,7151.001,28.079529,C0
6,378.72614,4548.4663,2.22E-05,0.91394156,7161.1416,28.194107,C0
7,379.5876,4551.69,2.27E-05,0.9132533,7205.5938,28.017622,C0
8,574.37146,4519.9727,2.30E-05,0.9041823,6374.5044,22.461075,H0
9,563.51636,4496.856,2.39E-05,0.90724987,6423.463,22.931814,H0
10,562.84546,4497.3345,2.39E-05,0.90723747,6426.4624,22.94625,H0
11,610.5838,4548.5674,2.33E-05,0.90528136,6047.413,21.392056,H0
12,570.5078,4545.4595,2.38E-05,0.90590584,6381.282,22.987766,H0
13,545.64935,4495.9404,2.38E-05,0.90608585,6572.397,23.444002,H0
14,580.1813,4550.5283,2.37E-05,0.9064895,6376.7344,22.928679,H0
15,347.87698,4636.2783,2.35E-05,0.90453607,6840.012,23.371319,I0
16,340.22897,4685.329,2.21E-05,0.9062779,6516.602,24.07657,I0
17,389.14944,4605.741,2.52E-05,0.903205,6783.0273,23.509096,I0
18,333.5441,4638.2046,2.33E-05,0.90406,6853.965,23.5427,I0
19,334.83682,4693.9434,2.18E-05,0.9062509,6482.7925,24.103231,I0
20,353.65384,4642.379,2.31E-05,0.90525234,6756.637,23.599915,I0
21,386.18976,4601.764,2.52E-05,0.9030311,6803.5605,23.508434,I0
22,714.8353,4369.0015,3.04E-05,0.8898458,6611.8276,24.062828,Z0
23,688.52875,4375.2505,3.04E-05,0.89232135,6680.5522,24.255701,Z0
24,658.3693,4397.5527,2.87E-05,0.89248335,6481.73,24.067455,Z0
25,649.40765,4398.03,2.86E-05,0.8928657,6490.3784,24.17687,Z0
26,684.6773,4392.2173,2.91E-05,0.89128286,6464.5425,23.83408,Z0
27,647.5227,4397.9746,2.86E-05,0.8929481,6492.433,24.203505,Z0
28,724.7584,4361.055,3.09E-05,0.8893904,6616.8643,24.044071,Z0
29,350.51257,4434.6846,2.33E-05,0.908358,7002.965,26.948872,C1
30,328.23682,4439.4272,2.27E-05,0.90806514,6995.4043,27.359465,C1
31,350.21823,4395.1895,2.16E-05,0.90474147,6855.122,26.183977,C1
32,342.1744,4417.068,2.27E-05,0.90571034,6883.603,26.274061,C1
